Name,POS,DK Pts,DK Price,FD Points,FD Price,DK Price %,FD Price %,Diff DK/FD
Odell Beckham Jr.,WR,20.3,9100,16.1,9100,18.20%,15.17%,3.03%
Julio Jones,WR,37,9300,28.3,9400,18.60%,15.67%,2.93%
Emmanuel Sanders,WR,19.3,7700,15.6,7900,15.40%,13.17%,2.23%
Demaryius Thomas,WR,19.6,8100,14.3,8500,16.20%,14.17%,2.03%
Jeremy Hill,RB,7.833,6500,7,6700,13.00%,11.17%,1.83%
Jordan Matthews,WR,18.033,6600,13.4,7000,13.20%,11.67%,1.53%
Calvin Johnson,WR,15.3,7500,12,8100,15.00%,13.50%,1.50%
DeAndre Hopkins,WR,23.4,7300,18.7,7900,14.60%,13.17%,1.43%
Kellen Clemens,QB,6.52,5000,6.5,5200,10.00%,8.67%,1.33%
Drew Stanton,QB,-0.3,5000,-0.3,5200,10.00%,8.67%,1.33%
A.J. Green,WR,24.167,7600,20.2,8400,15.20%,14.00%,1.20%
Keenan Allen,WR,25.833,7000,18.7,7700,14.00%,12.83%,1.17%
Randall Cobb,WR,18.7,7400,14,8200,14.80%,13.67%,1.13%
Eli Manning,QB,16.22,7000,15.9,7800,14.00%,13.00%,1.00%
Jimmy Graham,TE,13.5,6000,11.2,6600,12.00%,11.00%,1.00%
Matt McGloin,QB,11.68,5000,10.7,5500,10.00%,9.17%,0.83%
Nelson Agholor,WR,2.533,4500,1.9,4900,9.00%,8.17%,0.83%
Eddie Lacy,RB,9.4,6900,8.9,7800,13.80%,13.00%,0.80%
Drew Brees,QB,16.8,7400,15.3,8400,14.80%,14.00%,0.80%
Jeremy Maclin,WR,9.85,5800,7.6,6500,11.60%,10.83%,0.77%
Peyton Manning,QB,16.667,7200,15.7,8200,14.40%,13.67%,0.73%
T.Y. Hilton,WR,12.567,6700,10.1,7600,13.40%,12.67%,0.73%
Jamaal Charles,RB,22.5,7600,17.8,8700,15.20%,14.50%,0.70%
Arian Foster,RB,0,7000,19.6,8000,14.00%,13.33%,0.67%
Larry Fitzgerald,WR,30.767,6500,24.9,7400,13.00%,12.33%,0.67%
Kirk Cousins,QB,13.833,5400,12.2,6100,10.80%,10.17%,0.63%
Adrian Peterson,RB,19.667,7800,16.5,9000,15.60%,15.00%,0.60%
Amari Cooper,WR,20,6300,14.3,7200,12.60%,12.00%,0.60%
James Jones,WR,15.5,5300,14.3,6000,10.60%,10.00%,0.60%
Teddy Bridgewater,QB,10.6,5700,10.6,6500,11.40%,10.83%,0.57%
Russell Wilson,QB,18.46,7100,18.5,8200,14.20%,13.67%,0.53%
