Name,POS,DK Pts,DK Price,FD Points,FD Price,DK Price %,FD Price %,Diff DK/FD
Ben Roethlisberger,QB,20.793,6800,16.8,8400,0.136,0.14,-0.0040000000000000036
Carson Palmer,QB,22.247,6700,20.2,8200,0.134,0.13666666666666666,-0.0026666666666666505
Cam Newton,QB,22.724,6600,21.9,8100,0.132,0.135,-0.0030000000000000027
Philip Rivers,QB,22.973,6500,20.6,8000,0.13,0.13333333333333333,-0.003333333333333327
Mark Ingram,RB,17.283,6300,14.9,7600,0.126,0.12666666666666668,-0.0006666666666666765
Sam Bradford,QB,16.173,6100,15,7700,0.122,0.12833333333333333,-0.00633333333333333
Christopher Ivory,RB,22.050,5800,19.8,7800,0.116,0.13,-0.013999999999999999
Joe Flacco,QB,18.267,5700,16.6,7500,0.114,0.125,-0.010999999999999996
Matthew Stafford,QB,17.250,5700,16.5,7400,0.114,0.12333333333333334,-0.009333333333333332
Ryan Tannehill,QB,18.188,5700,17,7700,0.114,0.12833333333333333,-0.014333333333333323
John Brown,WR,16.333,5500,12.9,6700,0.11,0.11166666666666666,-0.0016666666666666635
Joseph Randle,RB,14.320,5500,13.3,6800,0.11,0.11333333333333333,-0.003333333333333327
Brandin Cooks,WR,12.383,5500,9.5,6700,0.11,0.11166666666666666,-0.0016666666666666635
Travis Benjamin,WR,19.800,5400,16.1,6600,0.108,0.11,-0.0020000000000000018
Marcus Mariota,QB,17.352,5400,16,7000,0.108,0.11666666666666667,-0.00866666666666667
Vincent Jackson,WR,13.520,5300,10.9,6800,0.106,0.11333333333333333,-0.007333333333333331
Brian Hoyer,QB,19.205,5300,18.2,6900,0.106,0.115,-0.009000000000000008
Derek Carr,QB,16.548,5300,14.9,6700,0.106,0.11166666666666666,-0.005666666666666667
Josh McCown,QB,21.268,5200,18.1,6900,0.104,0.115,-0.01100000000000001
Ryan Fitzpatrick,QB,18.076,5200,18.1,7100,0.104,0.11833333333333333,-0.014333333333333337
Golden Tate,WR,11.467,5200,8.6,6700,0.104,0.11166666666666666,-0.007666666666666669
Donte Moncrief,WR,15.283,5200,12.3,6500,0.104,0.10833333333333334,-0.004333333333333342
Alex Smith,QB,16.803,5100,16,6800,0.102,0.11333333333333333,-0.011333333333333334
Nick Foles,QB,12.708,5100,12.3,6400,0.102,0.10666666666666667,-0.00466666666666668
Teddy Bridgewater,QB,11.864,5100,11.7,6600,0.102,0.11,-0.008000000000000007
Jameis Winston,QB,16.232,5100,15.6,6500,0.102,0.10833333333333334,-0.006333333333333344
Matt Hasselbeck,QB,15.800,5000,15.8,6100,0.1,0.10166666666666667,-0.0016666666666666635
Matt Cassel,QB,0.000,5000,0,6400,0.1,0.10666666666666667,-0.006666666666666668
Mark Sanchez,QB,0,5000,16.7,6100,0.1,0.10166666666666667,-0.0016666666666666635
Ryan Mallett,QB,7.983,5000,7.6,6300,0.1,0.105,-0.0049999999999999906
Brandon Weeden,QB,9.640,5000,9.6,6400,0.1,0.10666666666666667,-0.006666666666666668
