"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14190","WR","Julio","Jones","19.7","7","9200","TB@ATL","ATL","TB","","","",""
"24920","RB","Devonta","Freeman","24.3","7","9100","TB@ATL","ATL","TB","","","",""
"16606","WR","DeAndre","Hopkins","19.8","7","9000","TEN@HOU","HOU","TEN","","","",""
"6894","QB","Aaron","Rodgers","21.9","6","9000","GB@DEN","GB","DEN","","","",""
"28181","RB","Le'Veon","Bell","18.5","5","8900","CIN@PIT","PIT","CIN","","","",""
"6703","RB","Adrian","Peterson","14.3","6","8900","MIN@CHI","MIN","CHI","","","",""
"21939","QB","Andrew","Luck","20.3","5","8800","IND@CAR","IND","CAR","","","",""
"31360","WR","Odell","Beckham Jr.","14","7","8700","NYG@NO","NYG","NO","P","Hamstring","",""
"7968","QB","Philip","Rivers","21","7","8500","SD@BAL","SD","BAL","","","",""
"11612","WR","Antonio","Brown","15","7","8400","CIN@PIT","PIT","CIN","","","",""
"9371","RB","Marshawn","Lynch","11.1","5","8300","SEA@DAL","SEA","DAL","","","",""
"6759","WR","Brandon","Marshall","16.4","6","8300","NYJ@OAK","NYJ","OAK","","","",""
"6589","QB","Ben","Roethlisberger","16.8","3","8200","CIN@PIT","PIT","CIN","Q","Knee","",""
"14187","WR","A.J.","Green","14.8","6","8200","CIN@PIT","CIN","PIT","","","",""
"6899","RB","Matt","Forte","16.4","6","8200","MIN@CHI","CHI","MIN","","","",""
"14225","QB","Andy","Dalton","23.3","6","8100","CIN@PIT","CIN","PIT","","","",""
"30447","RB","Todd","Gurley","16.3","4","8100","SF@STL","STL","SF","","","",""
"11432","WR","Demaryius","Thomas","13.5","6","8100","GB@DEN","DEN","GB","","","",""
"6748","QB","Carson","Palmer","20.1","7","8100","ARI@CLE","ARI","CLE","","","",""
"14185","QB","Cam","Newton","21.1","6","8000","IND@CAR","CAR","IND","","","",""
"6616","QB","Matt","Ryan","15.9","7","8000","TB@ATL","ATL","TB","","","",""
"14211","RB","Mark","Ingram","15.9","7","8000","NYG@NO","NO","NYG","","","",""
"29253","WR","Keenan","Allen","16.6","7","8000","SD@BAL","SD","BAL","","","",""
"11435","WR","Dez","Bryant","7.3","1","8000","SEA@DAL","DAL","SEA","Q","Foot","",""
"6504","QB","Drew","Brees","16.5","6","7900","NYG@NO","NO","NYG","","","",""
"22015","QB","Russell","Wilson","16.7","7","7800","SEA@DAL","SEA","DAL","","","",""
"32384","WR","Mike","Evans","10.1","5","7800","TB@ATL","TB","ATL","","","",""
"11505","WR","Emmanuel","Sanders","15","6","7800","GB@DEN","DEN","GB","Q","Shoulder","",""
"21980","WR","Alshon","Jeffery","17.5","2","7700","MIN@CHI","CHI","MIN","","","",""
"11864","RB","Christopher","Ivory","18.3","5","7700","NYJ@OAK","NYJ","OAK","Q","Hamstring","",""
"6883","WR","Larry","Fitzgerald","17","7","7700","ARI@CLE","ARI","CLE","","","",""
"22031","WR","T.Y.","Hilton","13.9","7","7700","IND@CAR","IND","CAR","","","",""
"14257","WR","Randall","Cobb","12.5","6","7600","GB@DEN","GB","DEN","P","Shoulder","",""
"6661","QB","Peyton","Manning","13.1","6","7600","GB@DEN","DEN","GB","","","",""
"21970","RB","Doug","Martin","16","6","7500","TB@ATL","TB","ATL","","","",""
"31001","WR","Amari","Cooper","14.1","6","7500","NYJ@OAK","OAK","NYJ","","","",""
"7659","QB","Ryan","Fitzpatrick","18.5","6","7400","NYJ@OAK","NYJ","OAK","","","",""
"6714","QB","Joe","Flacco","16.1","7","7400","SD@BAL","BAL","SD","","","",""
